epoch,step,train_loss_epoch,val_auc_identity_hate,val_auc_insult,val_auc_obscene,val_auc_severe_toxic,val_auc_threat,val_auc_toxic,val_loss,val_macro_f1,val_mean_columnwise_auc
0,7,,0.6928104162216187,0.44378697872161865,0.2750000059604645,0.49673202633857727,0.3529411554336548,0.3757575750350952,0.6672201156616211,0.0,0.4395046830177307
0,7,0.6721624135971069,,,,,,,,,
1,15,,0.7320261001586914,0.5088757276535034,0.4166666865348816,0.5098038911819458,0.40522873401641846,0.47272729873657227,0.658504068851471,0.0,0.5075547695159912
1,15,0.6493783593177795,,,,,,,,,
